#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
275284:5024,06/17/16 03:36:53,112,109,0.019481836,0.018040217
275285:5024,06/17/16 04:21:46,9,1,0.001550486,0.000126400
275286:5024,06/17/16 04:27:41,87,87,0.014714456,0.014083984
275289:5024,06/17/16 05:12:53,22,19,0.003649139,0.001083321
275290:5024,06/17/16 05:22:02,150,143,0.024365369,0.008030192
275291:5024,06/17/16 06:28:35,356,352,0.054777261,0.051726835
275292:5024,06/17/16 08:46:47,125,121,0.017014722,0.015676583
275293:5024,06/17/16 09:37:27,201,201,0.026155032,0.025269441
275309:5026,06/17/16 15:48:15,573,570,0.087344146,0.082747896
275310:5026,06/17/16 19:32:53,1939,1935,0.231967786,0.223928386
275311:5026,06/18/16 08:07:07,1253,1253,0.110651647,0.108015050
275319:5027,06/18/16 20:56:15,152,146,0.027849971,0.024647864
275337:5027,06/18/16 23:26:04,433,430,0.072808404,0.068989273
275338:5027,06/19/16 02:15:37,520,520,0.078279634,0.075749680
275344:5028,06/19/16 10:18:25,293,287,0.055037639,0.050722207
275345:5028,06/19/16 12:12:11,353,353,0.062652247,0.059911242
275370:5029,06/19/16 18:19:29,291,291,0.055920212,0.052091600
275371:5029,06/19/16 20:16:49,569,569,0.100184760,0.094980778
275375:5030,06/20/16 04:17:12,1327,1327,0.216056608,0.207472096
275376:5030,06/20/16 12:55:04,3096,3096,0.334800524,0.326027959
275656:5038,06/24/16 05:25:36,12,10,0.002433246,0
275657:5038,06/24/16 05:32:32,111,109,0.021298721,0.018443210
275658:5038,06/24/16 06:16:07,344,344,0.064757702,0.060098562
275659:5038,06/24/16 08:31:38,17,17,0.003062351,0.002957970
275757:5043,06/25/16 05:45:06,32,27,0.007061545,0.003363169
275758:5043,06/25/16 05:59:02,8,8,0.001745968,0.000800308
275759:5043,06/25/16 06:05:32,34,24,0.007367980,0.001208224
275761:5043,06/25/16 06:24:16,11,11,0.002346518,0.001681831
275763:5043,06/25/16 06:35:05,18,13,0.003452760,0.001642676
275764:5043,06/25/16 06:41:50,34,31,0.006362236,0.005418377
275766:5043,06/25/16 07:02:12,60,60,0.012278996,0.011290294
275767:5043,06/25/16 07:31:36,8,8,0.001611087,0.000712075
275768:5043,06/25/16 07:37:37,85,79,0.016792154,0.015004945
275772:5043,06/25/16 08:28:17,61,61,0.011821780,0.010451059
275773:5043,06/25/16 08:53:33,21,12,0.004000320,0.001193548
275774:5043,06/25/16 09:01:55,317,316,0.059075303,0.055616598
275776:5043,06/25/16 11:11:23,149,143,0.026301200,0.023487065
275777:5043,06/25/16 12:12:24,304,304,0.051032323,0.048382200
275778:5043,06/25/16 14:13:15,319,319,0.050004335,0.046162239
275781:5043,06/25/16 16:30:06,34,30,0.005089546,0.004195175
275782:5043,06/25/16 16:44:49,762,762,0.104492653,0.100581909
275828:5045,06/26/16 17:40:15,82,81,0.018204709,0.011230380
275829:5045,06/26/16 18:15:13,47,45,0.010912175,0.007232330
275831:5045,06/26/16 18:38:54,99,93,0.022410045,0.016447405
275832:5045,06/26/16 19:18:04,371,371,0.079108510,0.073405157
275833:5045,06/26/16 21:45:07,254,254,0.049723702,0.047373754
275834:5045,06/26/16 23:26:02,303,297,0.055576256,0.052459222
275835:5045,06/27/16 01:24:23,20,13,0.003530158,0.002089769
275836:5045,06/27/16 01:32:00,1306,1300,0.199235691,0.188526499
275837:5045,06/27/16 09:59:11,715,715,0.086791850,0.084175665
275841:5045,06/27/16 15:17:37,60,51,0.006641017,0.005386022
275846:5045,06/27/16 15:53:32,8,6,0.000874240,0.000605371
275847:5045,06/27/16 15:59:22,2263,2263,0.205471945,0.200568283
275886:5048,06/28/16 10:39:25,56,56,0.012283032,0.009056676
275887:5048,06/28/16 11:06:36,48,48,0.010251500,0.009297092
275890:5048,06/28/16 11:27:45,1393,1393,0.247481113,0.237643512
275911:5052,06/29/16 03:49:35,384,383,0.078633631,0.074358623
275912:5052,06/29/16 06:21:23,303,297,0.057160526,0.052522090
275913:5052,06/29/16 08:19:55,484,480,0.082897181,0.077387909
275918:5052,06/29/16 11:29:20,369,363,0.057542356,0.054496958
275920:5052,06/29/16 13:54:52,472,472,0.066187039,0.061815814
275921:5052,06/29/16 16:59:30,32,27,0.004313748,0.002717751
275922:5052,06/29/16 17:12:00,8,8,0.001073397,0.000276800
275923:5052,06/29/16 17:16:55,137,135,0.018095419,0.016052317
275931:5052,06/29/16 18:34:22,89,89,0.011329903,0.011009937
275963:5056,06/30/16 03:02:54,91,91,0.021097372,0.019993048
276062:5059,06/30/16 21:07:15,9,9,0.001944640,0.000040676
276063:5059,06/30/16 21:14:02,9,4,0.001966728,0.000015901
276064:5059,06/30/16 21:18:44,34,28,0.007385977,0.000109687
276092:5060,07/01/16 04:14:32,80,80,0.016851695,0.014927815
276095:5060,07/01/16 04:56:43,8,5,0.001772497,0.000218454
276097:5060,07/01/16 05:07:31,507,507,0.104680330,0.100454353
276242:5069,07/02/16 16:05:34,1669,1669,0.290041622,0.275436525
276243:5069,07/03/16 02:56:20,627,627,0.085758124,0.078803896
276244:5069,07/03/16 07:03:30,1202,1202,0.138837520,0.133636511
276282:5071,07/03/16 20:15:01,1077,1071,0.218716681,0.208243301
276283:5071,07/04/16 03:13:27,1087,1087,0.175660442,0.168603350
276315:5072,07/04/16 13:19:05,188,182,0.038832384,0.034816287
276317:5072,07/04/16 14:32:52,147,140,0.029807500,0.026592538
276318:5072,07/04/16 15:29:46,577,577,0.104476370,0.099354574
276326:5072,07/04/16 19:17:10,9,5,0.001542152,0.000000003
276327:5072,07/04/16 19:27:44,60,60,0.010126340,0.009877950
276352:5073,07/04/16 23:20:20,47,40,0.010188197,0.007771397
276355:5073,07/04/16 23:39:48,34,33,0.006761664,0.006271040
276357:5073,07/05/16 00:00:34,74,74,0.015856931,0.015174304
276361:5073,07/05/16 00:36:15,844,840,0.160699338,0.152740040
276363:5073,07/05/16 06:07:36,1489,1483,0.219369984,0.208782605
276384:5073,07/05/16 15:46:43,1117,1117,0.126291957,0.122563645
276437:5076,07/06/16 04:58:47,2147,2140,0.377358201,0.360418730
276453:5076,07/06/16 19:12:52,122,122,0.016556170,0.016042276
276454:5076,07/06/16 20:08:15,527,527,0.066435608,0.064517147
276458:5076,07/07/16 04:00:22,341,341,0.034238035,0.033452613
276495:5078,07/07/16 13:20:57,193,187,0.042769815,0.038488031
276501:5078,07/07/16 14:46:30,2556,2551,0.422960371,0.405862884
276502:5078,07/08/16 07:20:54,741,741,0.088980130,0.086178508
276525:5080,07/08/16 16:14:55,2818,2812,0.425211786,0.409597283
276527:5080,07/09/16 10:34:41,214,214,0.023371639,0.022643718
276528:5080,07/09/16 12:00:39,394,394,0.040052211,0.038702583
276542:5083,07/09/16 18:32:22,785,784,0.157981472,0.150098805
276543:5083,07/09/16 23:39:40,961,959,0.157182526,0.149648537
276544:5083,07/10/16 05:53:24,163,161,0.023541266,0.022197194
276545:5083,07/10/16 06:59:01,213,213,0.028807285,0.027687228
276581:5085,07/10/16 14:24:16,369,369,0.078584933,0.074866909
276582:5085,07/10/16 16:52:29,873,873,0.157188413,0.151514659
276583:5085,07/10/16 22:34:28,60,56,0.009614796,0.007915070
276584:5085,07/10/16 22:59:17,2,2,0.000319045,0.000174379
276585:5085,07/10/16 23:31:21,253,246,0.038388804,0.035229364
276586:5085,07/11/16 01:10:08,760,752,0.102328553,0.097861972
276587:5085,07/11/16 06:13:21,1006,1006,0.112642493,0.108607793
276653:5091,07/12/16 02:12:31,491,484,0.092765056,0.087327133
276655:5091,07/12/16 05:26:27,1114,1106,0.174900038,0.163194500
276659:5091,07/12/16 12:39:13,252,252,0.033318454,0.030465786
276775:5093,07/12/16 23:26:20,1174,1165,0.222366754,0.209558613
276776:5093,07/13/16 07:02:29,1823,1823,0.246879948,0.238494780
